load_scenario,load_scenario_idx,horizon_step,load,p_mw,q_mvar
33,22371,0,1,16.255304423319366,9.513473095675389
33,22371,0,2,57.72286389785129,11.64261586050079
33,22371,0,3,29.587100829001518,-2.4140103186842246
33,22371,0,4,3.7691686781102414,0.7935091953916298
33,22371,0,5,7.811018778854825,5.2305929322688565
33,22371,0,6,-0.004639933170869526,-0.0
33,22371,0,7,-0.004639933170869526,-0.0
33,22371,0,8,18.33279722989647,10.316082509026488
33,22371,0,9,5.3584511599712,3.4532240808703287
33,22371,0,10,2.137496556256644,1.0992839432177026
33,22371,0,11,3.8696697565421827,1.0149953459782775
33,22371,0,12,10.785305840937637,4.633686953884318
33,22371,0,13,9.476732997654151,3.1801117441792455
34,22372,0,0,-0.013714016370384385,-0.0
34,22372,0,1,15.389864940986953,9.00697164749006
34,22372,0,2,52.12800285142196,10.514140702516105
34,22372,0,3,27.264659589874228,-2.2245224351571022
34,22372,0,4,3.1946949770865203,0.6725673635971622
34,22372,0,5,7.061942996007163,4.728979684826226
34,22372,0,6,-0.013714016370384385,-0.0
34,22372,0,7,-0.013714016370384385,-0.0
34,22372,0,8,17.32568428420283,9.749368105687015
34,22372,0,9,4.668832309871996,3.0088030441397304
34,22372,0,10,1.9843133892727005,1.0205040287688176
34,22372,0,11,3.5544395555122046,0.9323120145605783
34,22372,0,12,9.936499803003485,4.269014730179276
34,22372,0,13,8.833760396876155,2.9643491264685085
35,22373,0,0,-0.013876859857118617,-0.0
35,22373,0,1,14.731388797429453,8.621596208633827
35,22373,0,2,46.8218485030217,9.443897256448112
35,22373,0,3,24.901736940339774,-2.031731675048643
35,22373,0,4,2.6323201770284292,0.5541726688480904
35,22373,0,5,6.3562157792297125,4.256394495019897
35,22373,0,6,-0.013876859857118617,-0.0
35,22373,0,7,-0.013876859857118617,-0.0
35,22373,0,8,16.231444891721917,9.13362661703674
35,22373,0,9,4.204635107769195,2.7096537361179256
35,22373,0,10,1.8021958954864896,0.9268436033930519
35,22373,0,11,3.324934607085904,0.8721139953012208
35,22373,0,12,9.36353917010137,4.022853865673182
35,22373,0,13,8.133592110840082,2.7293933257852627
36,22374,0,0,0.003529628479594038,0.0
36,22374,0,1,14.223346356621896,8.324262614244152
36,22374,0,2,42.60366037187469,8.59309497946517
36,22374,0,3,22.814176705294066,-1.86140772281688
36,22374,0,4,2.284507214895637,0.4809488873464499
36,22374,0,5,5.903394304971901,3.953165829222255
36,22374,0,6,0.003529628479594038,0.0
36,22374,0,7,0.003529628479594038,0.0
36,22374,0,8,15.35643280306128,8.641246933248043
36,22374,0,9,3.9093584152480094,2.519364312048717
36,22374,0,10,1.7397617026720198,0.8947345899456103
36,22374,0,11,3.092382634963477,0.8111167567117318
36,22374,0,12,9.018255960716958,3.874509968308027
36,22374,0,13,7.583432792880171,2.544776104993346
37,22375,0,0,0.003805722209376583,0.0
37,22375,0,1,13.823580030540246,8.090297990224014
37,22375,0,2,39.49574801566372,7.966233676195442
37,22375,0,3,22.161880472058186,-1.808186900439894
37,22375,0,4,2.089572458307993,0.4399099912227354
37,22375,0,5,5.563926331336647,3.725843525448648
37,22375,0,6,0.003805722209376583,0.0
37,22375,0,7,0.003805722209376583,0.0
37,22375,0,8,14.895866640613852,8.382080889294574
37,22375,0,9,3.6430419564474352,2.347738149710569
37,22375,0,10,1.651236282294155,0.849207230894137
37,22375,0,11,2.958252155927611,0.7759349917187177
37,22375,0,12,8.764187090088367,3.7653544535194463
37,22375,0,13,7.238579696168216,2.4290535893181935
38,22376,0,0,0.00339861349253745,0.0
38,22376,0,1,13.60111140113626,7.960097455964539
38,22376,0,2,38.58192662312563,7.781917259441475
38,22376,0,3,21.859454950469303,-1.7835120147872445
38,22376,0,4,1.9169813084958207,0.40357501231490966
38,22376,0,5,5.433145616842701,3.6382671541357374
38,22376,0,6,0.00339861349253745,0.0
38,22376,0,7,0.00339861349253745,0.0
38,22376,0,8,14.549879376026666,8.187389750577717
38,22376,0,9,3.5707968136559725,2.3011801688005153
38,22376,0,10,1.5979909033175819,0.8218238931347565
38,22376,0,11,2.8868201202733275,0.7571987200716925
38,22376,0,12,8.666892779261556,3.7235539347938538
38,22376,0,13,7.116412661924922,2.3880579402432627
39,22377,0,0,0.0040625707998191984,0.0
39,22377,0,1,13.681305896772258,8.007031561705423
39,22377,0,2,38.68528782534278,7.802765060313299
39,22377,0,3,21.53973767118209,-1.7574262953474926
39,22377,0,4,1.8957613217788243,0.3991076466902788
39,22377,0,5,5.322129660452468,3.5639261119101353
